hs6,dimension,score,sitc2,sitc2_label
850650,2,0.32542619124011,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850660,2,0.0643450280982244,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850680,2,0.143776815636098,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850690,2,0.0250470922297307,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850710,2,4.89158947797425,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850720,2,2.48180172892363,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850730,2,0.210418674847411,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850740,2,0.00196128733879823,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850780,2,1.66247166009893,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850790,2,1.28514442975458,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850811,2,1.28438327881313,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850819,2,0.948964219269242,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850860,2,0.0924556802441,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850870,2,0.301375395204678,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850940,2,1.96875338743326,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850980,2,0.984317188684345,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
850990,2,0.447540569505383,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851010,2,0.86080018019158,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851020,2,0.35424678509991,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851030,2,0.421824077528643,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
